operator,tail_number,aircraft_type,category,engines,cargo_pax,seats,base_icao,crew,cruise_kts,range_nm,max_payload_lbs,mtow_lbs,fet_status,door_type,door_w_in,door_h_in,cabin_l_ft,cabin_w_ft,cabin_h_ft,cabin_vol_cuft,trips_logged,avg_op_per_nm_circuit,med_assumed_op_per_nm,est_op_per_hr,liability_limit,hull_value,notes,spec_source
GTA Air,N577W,Baron 58,Piston,Multi Piston,Cargo,,KADS,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
GTA Air,N882MT,Baron 58,Piston,Multi Piston,Cargo,,KADS,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
GTA Air,N2026W,Baron 58,Piston,Multi Piston,Cargo,,KADS,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
GTA Air,N2064V,Baron 58,Piston,Multi Piston,Cargo,,KADS,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
GTA Air,N6573K,Baron 58,Piston,Multi Piston,Cargo,,KADS,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
GTA Air,N36673,Baron 58,Piston,Multi Piston,Cargo,,KADS,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
"IFL Group, Inc.",N481FL,AMD Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"IFL Group, Inc.",N511FL,AMD Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"IFL Group, Inc.",N521FL,AMD Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"IFL Group, Inc.",N531FL,AMD Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"IFL Group, Inc.",N541FL,AMD Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
"IFL Group, Inc.",N581FL,AMD Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N808CK,Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N240CK,Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N820CK,Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N192CK,Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N229CK,Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N47LP,Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N100AS,Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N244CK,Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N396CK,Falcon 20,Midsize Jet (Cargo),Turbine,Cargo,,KYIP,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,10.14,4361,,,,published typical config — verify per tail
Kalitta Charters LLC,N242CK,Challenger 600,Heavy Jet,Turbine,Cargo,,KYIP,,450,3500,4000,41250,FET applies,Airstair,32,63,28.3,8.2,6.1,1150,,,,,,,,published typical config — verify per tail
Kalitta Charters LLC,N245CK,Challenger 600,Heavy Jet,Turbine,Cargo,,KYIP,,450,3500,4000,41250,FET applies,Airstair,32,63,28.3,8.2,6.1,1150,,,,,,,,published typical config — verify per tail
Kalitta Charters LLC,N76CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N355CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N913CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N35WL,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N73CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N163CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N217CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N237CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N295CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N298CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N325NW,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N352CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N353CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N357CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N431CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N824CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N870CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N905CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N71CK,Lear 35a,Light Jet,Turbine,Cargo,,KYIP,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
Kalitta Charters LLC,N45KX,Lear 45,Light Jet,Turbine,Cargo,,KYIP,,445,1800,2500,21500,FET applies,Airstair,24,48,19.8,5.1,4.9,410,,,,,,,,published typical config — verify per tail
Kalitta Charters LLC,N273LP,Lear 45,Light Jet,Turbine,Cargo,,KYIP,,445,1800,2500,21500,FET applies,Airstair,24,48,19.8,5.1,4.9,410,,,,,,,,published typical config — verify per tail
Kalitta Charters LLC,N451CK,Lear 45,Light Jet,Turbine,Cargo,,KYIP,,445,1800,2500,21500,FET applies,Airstair,24,48,19.8,5.1,4.9,410,,,,,,,,published typical config — verify per tail
Kalitta Charters LLC,N452CK,Lear 45,Light Jet,Turbine,Cargo,,KYIP,,445,1800,2500,21500,FET applies,Airstair,24,48,19.8,5.1,4.9,410,,,,,,,,published typical config — verify per tail
Kalitta Charters LLC,N453CK,Lear 45,Light Jet,Turbine,Cargo,,KYIP,,445,1800,2500,21500,FET applies,Airstair,24,48,19.8,5.1,4.9,410,,,,,,,,published typical config — verify per tail
Kalitta Charters LLC,N881MJ,Lear 45,Light Jet,Turbine,Cargo,,KYIP,,445,1800,2500,21500,FET applies,Airstair,24,48,19.8,5.1,4.9,410,,,,,,,,published typical config — verify per tail
Kentucky Airmotive Inc.,N16KW,King Air 90,Turboprop,Multi Turboprop,Pax,6,KIOB,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
Kentucky Airmotive Inc.,N61698,King Air 90,Turboprop,Multi Turboprop,Pax,6,KIOB,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
Kentucky Airmotive Inc.,N7901Q,Cessna 401,Piston,Multi Piston,Pax,7,KIOB,,190,1100,1600,6300,FET applies,Single door,26,36,15,4,4.1,150,,,,,,,,published typical config — verify per tail
Kentucky Airmotive Inc.,N613TA,King Air 200,Turboprop,Multi Turboprop,Pax,8,KIOB,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
Kentucky Airmotive Inc.,N82ER,Cessna 182,Piston,Single Piston,Pax,3,KIOB,,130,800,900,3100,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,37,41,9.1,3.5,4,75,,,,,,,,published typical config — verify per tail
Kentucky Airmotive Inc.,N4861S,Cessna 182,Piston,Single Piston,Pax,3,KIOB,,130,800,900,3100,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,37,41,9.1,3.5,4,75,,,,,,,,published typical config — verify per tail
LOWCOUNTRY AVIATION - Marco,N332MS,King Air 90,Turboprop,Multi Turboprop,,6,KCHS,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
LOWCOUNTRY AVIATION - Marco,N600AC,King Air 90,Turboprop,Multi Turboprop,,6,KCHS,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
LOWCOUNTRY AVIATION - Marco,N997LM,King Air 200,Turboprop,Multi Turboprop,,8,KCHS,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
LOWCOUNTRY AVIATION - Marco,N825ST,King Air 200,Turboprop,Multi Turboprop,,8,KCHS,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
LOWE AVIATION CO - Ed Lowe,N83KK,Baron 58,Piston,Multi Piston,,5,KMCN,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.49,1233,,,,published typical config — verify per tail
LOWE AVIATION CO - Ed Lowe,N1103G,King Air 90,Turboprop,Multi Turboprop,,6,KMCN,,225,1200,1500,10100,FET applies,Airstair,27,51,12.6,4.5,4.8,220,,,9.13,2053,,,,published typical config — verify per tail
Miller Aviation,N5336C,Cessna 310,Piston,Multi Piston,,4,KHHG,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,6,6.21,6.04,,,,,published typical config — verify per tail
Miller Aviation,N6209X,Cessna 310,Piston,Multi Piston,,4,KHHG,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,8,6.33,6.08,,,,,published typical config — verify per tail
Moyer Aviation Inc,N938PM,Piper Navajo,Piston,Multi Piston,,7,KMPO,,170,900,1800,6500,FET applies,Door + aft cargo,26,44,12.8,4.2,4.3,160,,,9.24,1478,,,,published typical config — verify per tail
Moyer Aviation Inc,N4086E,Piper Navajo,Piston,Multi Piston,,7,KMPO,,170,900,1800,6500,FET applies,Door + aft cargo,26,44,12.8,4.2,4.3,160,,,9.24,1478,,,,published typical config — verify per tail
Moyer Aviation Inc,N41166,Piper Navajo,Piston,Multi Piston,,7,KMPO,,170,900,1800,6500,FET applies,Door + aft cargo,26,44,12.8,4.2,4.3,160,,,9.24,1478,,,,published typical config — verify per tail
Moyer Aviation Inc,N9480E,Cessna 172,Piston,Single Piston,,3,KMPO,,110,600,750,2450,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,37,40,8.9,3.3,4,70,,,,,,,,published typical config — verify per tail
Moyer Aviation Inc,N5185U,Cessna 172,Piston,Single Piston,,3,KMPO,,110,600,750,2450,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Two doors,37,40,8.9,3.3,4,70,,,,,,,,published typical config — verify per tail
Moyer Aviation Inc,N7MW,Baron 58,Piston,Multi Piston,,5,KMPO,,190,1050,1100,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Double aft doors,43,36,12.6,3.5,4.2,136,,,6.75,1282,,,,published typical config — verify per tail
PACC Air,N310TS,Cessna 310,Piston,Multi Piston,Cargo,,KMSP,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,,,,,,,,published typical config — verify per tail
PACC Air,N314U,Cessna 310,Piston,Multi Piston,Cargo,,KMSP,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,,,,,,,,published typical config — verify per tail
PACC Air,N780SH,Cessna 310,Piston,Multi Piston,Cargo,,KMSP,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,,,,,,,,published typical config — verify per tail
PACC Air,N1203W,Cessna 310,Piston,Multi Piston,Cargo,,KMSP,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,,,,,,,,published typical config — verify per tail
PACC Air,N3397G,Cessna 310,Piston,Multi Piston,Cargo,,KMSP,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,,,,,,,,published typical config — verify per tail
PACC Air,N6832Y,Cessna 310,Piston,Multi Piston,Cargo,,KMSP,,180,900,1300,5500,"EXEMPT — MTOW ≤ 6,000 lb (IRC §4281)",Single door,26,36,10.5,4,4.1,110,,,,,,,,published typical config — verify per tail
PACC Air,N75GB,Cessna 402b,Piston,Multi Piston,Cargo,,KMSP,,190,1200,1900,6300,FET applies,Door + cargo door opt.,49,47,15,4,4.1,150,,,,,,,,published typical config — verify per tail
PACC Air,N3796C,Cessna 402b,Piston,Multi Piston,Cargo,,KMSP,,190,1200,1900,6300,FET applies,Door + cargo door opt.,49,47,15,4,4.1,150,,,,,,,,published typical config — verify per tail
PACC Air,N6384X,Cessna 402b,Piston,Multi Piston,Cargo,,KMSP,,190,1200,1900,6300,FET applies,Door + cargo door opt.,49,47,15,4,4.1,150,,,,,,,,published typical config — verify per tail
PACC Air,N401VA,Piper Cheyenne,Turboprop,Multi Turboprop,Cargo,,KMSP,,240,1300,1800,9000,FET applies,Airstair,26,47,12.9,4.3,4.3,180,,,12.49,2997,,,,published typical config — verify per tail
PACC Air,N700RD,Piper Cheyenne,Turboprop,Multi Turboprop,Cargo,,KMSP,,240,1300,1800,9000,FET applies,Airstair,26,47,12.9,4.3,4.3,180,,,12.49,2997,,,,published typical config — verify per tail
"PlaneSmart! Charter, LLC.",N882MZ,Citation CJ,Light Jet,Turbine,,5,KADS,,380,1200,1500,10700,FET applies,Airstair,24,51,11,4.8,4.8,200,,,17.89,6799,,,,published typical config — verify per tail
"PlaneSmart! Charter, LLC.",N817SA,PC-12,Turboprop,Single Turboprop,,8,KADS,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
Precision Aviation,N204BG,Citation Ultra,Light Jet,Turbine,,7,KJER/KTWF,,425,1700,2300,16300,FET applies,Airstair,24,53,17.3,4.8,4.7,320,,,,,,,,published typical config — verify per tail
Precision Aviation,N501EB,King Air 200,Turboprop,Multi Turboprop,,8,KJER/KTWF,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
Precision Aviation,N5728G,Kodiak 100,Turboprop,Single Turboprop,,9,KJER/KTWF,,170,1000,3100,7255,FET applies,Cargo door,49,50,15.9,4.5,4.8,250,,,,,,,,published typical config — verify per tail
Priority Air Charter LLC,N812PA,PC-12,Turboprop,Single Turboprop,Cargo,,KBJJ,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
Priority Air Charter LLC,N814PA,PC-12,Turboprop,Single Turboprop,Cargo,,KBJJ,,270,1800,2600,10450,FET applies,Cargo door + airstair,53,52,16.9,5,4.8,330,,,,,,,,published typical config — verify per tail
Priority Air Charter LLC,N179SA,Cessna 208B Grand Caravan,Turboprop,Single Turboprop,Cargo,,KBJJ,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.33,1209,,,,published typical config — verify per tail
Priority Air Charter LLC,N702PA,Cessna 208B Grand Caravan,Turboprop,Single Turboprop,Cargo,,KBJJ,,165,900,3300,8750,FET applies,Cargo door,49,50,16.8,5.2,4.5,340,,,7.33,1209,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N20WK,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,1,11.9,11.9,5118,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N68UP,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,11.53,4959,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N166RA,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,11.53,4959,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N239CD,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,11.53,4959,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N600RA,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,11.53,4959,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N730RA,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,11.53,4959,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N760RA,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,11.53,4959,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N766RA,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,11.53,4959,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N780RA,Falcon 20,Midsize Jet (Cargo),Turbine,,8,KPTK,,430,1800,6000,28660,FET applies,Cargo door,74.5,55.5,24,6.1,5.6,630,,,11.53,4959,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N950RA,Falcon 50,Super-Mid Jet,Turbine,,9,KPTK,,470,3000,3500,40780,FET applies,Airstair,32,62,23.5,6.1,5.9,700,,,,,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N850RA,Falcon 50,Super-Mid Jet,Turbine,,9,KPTK,,470,3000,3500,40780,FET applies,Airstair,32,62,23.5,6.1,5.9,700,,,,,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N74RA,King Air 200,Turboprop,Multi Turboprop,,8,KPTK,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N220RA,King Air 200,Turboprop,Multi Turboprop,,8,KPTK,,270,1700,2500,12500,FET applies,Airstair (cargo door opt.),27,52,16.7,4.5,4.8,303,,,13.32,3596,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N34A,Embrarer Bandit,Turboprop,Multi Turboprop,,15,KPTK,,220,1000,3500,12500,FET applies,Airstair + cargo door,47,55,30.9,5.3,5.3,600,,,,,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N49RA,Embrarer Bandit,Turboprop,Multi Turboprop,,15,KPTK,,220,1000,3500,12500,FET applies,Airstair + cargo door,47,55,30.9,5.3,5.3,600,,,,,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N64DA,Embrarer Bandit,Turboprop,Multi Turboprop,,15,KPTK,,220,1000,3500,12500,FET applies,Airstair + cargo door,47,55,30.9,5.3,5.3,600,,,,,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N72RA,Embrarer Bandit,Turboprop,Multi Turboprop,,15,KPTK,,220,1000,3500,12500,FET applies,Airstair + cargo door,47,55,30.9,5.3,5.3,600,,,,,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N73RA,Embrarer Bandit,Turboprop,Multi Turboprop,,15,KPTK,,220,1000,3500,12500,FET applies,Airstair + cargo door,47,55,30.9,5.3,5.3,600,,,,,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N9RA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N31RA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N41RA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N61RA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N71RA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N76RA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N81RA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N351AS,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N417BA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N669RA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N731RA,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N804TF,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
"Royal Air Freight, Inc.",N841TF,Lear 35a,Light Jet,Turbine,,8,KPTK,,430,2000,3200,18300,FET applies,Clamshell,24,47,12.9,4.9,4.3,268,,,7.08,3045,,,,published typical config — verify per tail
